Visit Number ,Positive culture,sex,Age ,BW,Color,Clarity ,USG,ph,Protein,Glucose,Ketones,Bilirubin,Hemoprotein,Lipid Layer,WBC,RBC
8013BX,0,4,12,4.1,Yellow,Hazy,1.048,7,25,0,0,0,10,Pos,1,8
8028BX,1,2,14,3.3,Yellow,SLHazy,1.039,6,25,0,0,0,250,Pos,1,50
8112BX,0,2,17.6,4.9,Straw,SLHazy,1.011,6,150,0,0,0,250,Negative,5,12
8211BX,0,2,17,3.7,Straw,Cloudy,1.021,8,0,0,0,0,0,Pos,5,0
8252BX,0,2,9,4.3,Red,Cloudy,1.017,6,25,0,0,0,250,Negative,5,100
8317BXDIA,0,2,5.9,7.7,Red,Cloudy,1.02,7,500,1000,0,0,250,Negative,2,100
8629BX,0,4,17,2.5,Yellow,SLHazy,1.015,6,0,0,0,0,250,Negative,0,12
8652BX,0,2,14,5.5,Straw,SLHazy,1.015,6,25,0,0,0,250,Negative,2,100
8797BX,0,2,13.1,10,Yellow,SLHazy,1.038,7,25,50,0,0,10,Negative,0,8
62257EM,1,4,19.1,,Red,Cloudy,1.022,6,150,1000,0,0,250,Negative,100,100
8882BX,0,1,14.6,3.6,Yellow,SLHazy,1.019,8,75,0,0,0,10,Pos,1,5
8910BX,0,2,5.6,6.8,Amber,Opaque,1.043,7,75,0,0,0,250,Pos,5,100
8947BX,0,2,9.9,8.9,Yellow,SLHazy,1.051,7,25,0,0,0,25,Pos,0,12
9035BX,0,2,17.1,4.5,Yellow,Hazy,1.015,6,75,0,0,0,250,Negative,2,100
9017BX,0,4,13.1,,Straw,Clear,1.019,5,0,1000,0,0,250,Negative,0,12
9267BX,0,4,5.4,5.4,Red,Opaque,1.056,7,500,0,0,0,250,Pos,8,100
9318BX,1,4,15.1,5.2,Straw,SLHazy,1.013,5,25,0,0,0,50,Negative,24,0
9426BX,0,2,13.8,5.4,Straw,Clear,1.033,6,0,1000,0,0,10,Pos,0,5
9707BX,1,4,6.8,,Straw,Clear,1.029,6,25,50,0,0,0,Negative,0,0
9733BX,1,2,4,5.2,Straw,Clear,1.011,7,0,0,0,0,50,Negative,18,0
18BY,0,4,10.1,3,Amber,Cloudy,1.029,6,25,0,0,3,150,Negative,2,100
9961BX,0,2,17.1,5.8,Straw,Clear,1.025,7,25,0,0,0,50,Negative,0,18
483BY,1,2,6.1,4.3,Yellow,SLHazy,1.031,6,25,0,0,0,150,Pos,2,100
559BY,0,2,3,6.5,Yellow,SLHazy,1.033,7,25,100,0,0,250,Pos,1,100
559BY,0,2,3,6.5,Yellow,SLHazy,1.033,7,25,100,0,0,250,Pos,1,100
326BY,1,4,19.1,3.4,Yellow,Cloudy,1.019,6,25,0,0,0,25,Negative,100,2
327BY,0,2,19.1,4.4,Straw,Hazy,1.013,6,25,0,0,0,250,Negative,2,100
459BY,0,2,23.1,4.6,Straw,Clear,1.016,6,75,0,0,0,0,Negative,0,0
609BY,0,2,4.1,8.1,Yellow,Hazy,1.041,6,25,0,0,0,0,Pos,0,0
538BY,0,2,21.1,4,Colorless,Cloudy,1.009,6,75,0,0,0,250,Negative,5,100
757BY,0,2,15.6,5.2,Straw,Clear,1.018,6,25,1000,0,0,0,Negative,0,0
786BY,0,4,16,3.2,Straw,Cloudy,1.01,6,25,0,0,0,150,Pos,1,2
784BY,0,1,2.1,5,Red,Opaque,1.024,8,150,0,0,0,150,Pos,5,100
1074BY,0,4,3.1,4.8,Yellow,Cloudy,1.013,7,0,0,0,0,150,Negative,5,50
1093BY,0,4,8.1,3.9,Yellow,Cloudy,1.04,7,25,0,0,0,10,Pos,1,5
1128BY,1,4,13.1,3.8,Straw,Cloudy,1.015,6,25,1000,0,0,250,Negative,100,100
1694BY,0,4,12.9,4.4,Yellow,Cloudy,1.031,7,25,0,0,0,25,Pos,0,0
2044BY,0,1,11,5,Amber,Hazy,1.062,7,75,0,0,6,150,Negative,24,50
2060BY,1,2,3.1,3.7,Red,Opaque,1.021,7,500,0,0,1,250,Negative,100,100
2283BY,0,2,1.8,6,Red,Cloudy,1.039,7,75,0,0,0,250,Negative,5,100
2605BY,0,4,6.6,5.7,Amber,Cloudy,1.039,5,75,0,0,6,250,Negative,1,100
2572BY,0,4,14.1,3.6,Yellow,Hazy,1.053,7,25,0,0,0,25,Negative,0,5
2797BY,0,2,4.5,4.5,Straw,Clear,1.013,5,25,0,0,0,150,Negative,5,0
2830BY,0,2,12.1,3.4,Straw,SLHazy,1.012,6,75,100,0,0,250,Pos,5,100
2947BY,0,4,19.1,4,Straw,Clear,1.022,6,75,1000,0,0,0,Negative,0,0
62549EM,0,2,14,6.7,Straw,Clear,1.014,6,0,0,0,0,0,Pos,0,0
3055BY,0,2,14.8,4.7,Yellow,Cloudy,1.018,6,0,0,0,0,0,Floc,2,2
3183BY,0,2,16.2,5.5,Yellow,Clear,1.019,7,150,0,0,0,0,Negative,1,0
3254BY,0,2,12.8,3.4,Yellow,Clear,1.05,7,25,0,0,1,0,Negative,0,0
3292BY,0,4,4.5,4.5,Yellow,Clear,1.011,6,0,0,0,0,0,Negative,1,0
3384BY,0,4,23.9,,Straw,Clear,1.014,6,0,0,0,0,250,Negative,0,100
3412BY,0,4,14,5.6,Straw,Cloudy,1.013,6,25,0,0,0,10,Pos,0,1
3560BY,0,2,18.2,4.9,Yellow,Clear,1.016,7,0,0,0,0,0,Negative,1,1
3986BY,1,2,6.2,6.6,Yellow,Cloudy,1.034,7,25,0,0,0,150,Negative,1,100
4359BY,1,4,9.2,5,Straw,Cloudy,1.02,6,25,0,0,0,50,Negative,100,50
4477BY,0,-9,5,2.6,Yellow,Hazy,1.013,5,25,0,0,0,25,Negative,2,0
4694BY,1,2,3,4.9,Straw,SLHazy,1.004,7,75,100,0,0,250,Negative,5,100
4764BY,0,2,17.2,3.9,Yellow,Hazy,1.016,6,75,0,0,0,150,Pos,5,50
4889BY,0,2,20.2,8.6,Yellow,Cloudy,1.04,6,25,0,0,0,0,Floc,1,0
393167M,0,4,12.2,,Yellow,Hazy,1.037,6,75,0,0,0,50,Negative,0,24
5015BY,1,2,13.2,5.1,Straw,Clear,1.019,6,150,0,0,0,0,Negative,0,1
5055BY,1,2,13.9,5.6,Straw,Clear,1.041,6,0,1000,0,0,0,Negative,0,0
5126BY,0,2,14.9,3.9,Yellow,Hazy,1.045,7,0,1000,0,0,0,Pos,0,0
5229BY,0,2,3.2,6.8,Yellow,Cloudy,1.053,6,25,0,0,0,0,Pos,0,0
5353BY,0,2,12.1,4.8,Yellow,SLHazy,1.015,6,75,0,0,0,250,Negative,8,24
62725EM,1,4,13.2,4.2,Straw,Cloudy,1.008,7,75,0,0,0,250,Negative,18,24
62725EM,0,4,13.2,4.2,Straw,Cloudy,1.008,7,75,0,0,0,250,Negative,18,24
62758EM,0,2,2.2,4.2,Yellow,Hazy,1.035,7,150,0,0,0,250,Floc,8,100
5604BY,0,4,0,3.2,Yellow,Clear,1.019,7,0,0,0,0,0,Pos,0,1
5612BY,0,4,11.7,4.2,Yellow,Hazy,1.035,6,25,0,0,0,250,Negative,0,100
5640BY,0,2,12,4.4,Yellow,Cloudy,1.044,6,25,0,0,0,0,Pos,0,0
393504M,0,4,16.2,,Straw,Cloudy,1.013,6,0,0,0,0,250,Negative,2,100
5695BY,0,2,14.2,4.7,Straw,SLHazy,1.013,5,25,0,0,0,250,Negative,1,100
6070BY,0,2,18.6,4.1,Yellow,SLHazy,1.012,6,25,0,0,0,250,Negative,0,100
6217BY,0,4,2.6,3.9,Yellow,SLHazy,1.022,6,0,0,0,0,0,Negative,0,0
6524BY,0,2,13.2,7.1,Yellow,SLHazy,1.056,7,25,0,0,0,0,Floc,0,1
6570BY,0,4,17.7,2.7,Straw,Clear,1.005,5,0,0,0,0,0,Negative,0,0
6618BY,0,4,18.2,2.3,Straw,Cloudy,1.017,6,75,0,0,0,250,Pos,0,2
6682BY,0,4,12.2,6.3,Yellow,Hazy,1.046,7,25,0,0,0,250,Negative,0,18
62907EM,0,4,7.2,5.1,Other;LIGHT AMBER.,Cloudy,1.026,7,75,0,0,0,250,Floc,1,50
7125BY,0,1,12.2,6.2,Straw,Clear,1.019,6,0,0,0,0,0,Negative,0,0
7126BY,1,4,17.7,3.4,Straw,Hazy,1.014,6,25,0,0,0,150,Negative,50,50
7191BY,0,4,8.2,5.6,Other,Clear,1.025,6,0,0,0,0,0,Negative,1,0
7191BY,0,4,8.2,5.6,Other,Clear,1.025,6,0,0,0,0,0,Negative,1,0
7357BY,0,4,12.2,3.2,Yellow,Hazy,1.061,8,75,0,0,0,25,Floc,0,12
7371BY,0,4,13.1,4.6,Yellow,SLHazy,1.013,7,75,0,0,0,250,Negative,0,2
62994EM,0,2,6.3,5.8,Red,Opaque,1.026,7,150,300,0,0,250,Negative,2,100
62994EM,1,2,6.3,5.8,Red,Opaque,1.026,7,150,300,0,0,250,Negative,2,100
7762BY,0,4,5.3,3.7,Yellow,SLHazy,1.048,6,75,0,0,0,0,Pos,0,0
8222BY,0,2,11.3,5.2,Yellow,Hazy,1.054,8,25,1000,0,0,0,Pos,0,1
394943M,1,4,14.2,,Yellow,Hazy,1.047,7,75,0,0,0,250,Negative,0,100
8499BY,0,4,13,3.9,Straw,Cloudy,1.025,7,25,300,0,0,150,Pos,0,50
8529BY,0,2,4.3,3.7,Straw,Clear,1.028,6,0,0,5,0,0,Negative,0,2
8800BY,0,4,8.3,5.2,Straw,Clear,1.006,5,25,0,0,0,250,Negative,5,12
8830BY,0,4,1.3,4,Yellow,Hazy,1.047,8,25,0,0,0,50,Negative,5,24
8876BY,0,2,10.9,4.4,Yellow,Clear,1.048,7,75,300,0,0,50,Negative,0,12
63098EM,1,2,10.3,5.9,Amber,Cloudy,1.032,7,150,0,0,0,250,Negative,2,100
9110BY,0,2,5.3,3.6,Yellow,Hazy,1.022,6,25,0,0,0,10,Pos,0,5
9229BY,0,4,10.3,7.1,Yellow,Hazy,1.045,8,75,1000,0,0,250,Pos,2,100
9234BY,0,4,15.3,4.8,Straw,Clear,1.013,6,0,0,0,0,25,Pos,0,8
9244BY,0,4,10.3,5.4,Yellow,Cloudy,1.05,7,25,0,0,0,0,Pos,0,0
9364BY,1,2,9.1,6.4,Red,Opaque,1.022,8,150,0,0,0,250,Negative,24,100
9517BY,0,4,13.3,4.2,Other;LIGHT PINK,SLHazy,1.011,6,75,0,0,0,250,Negative,2,100
9569BY,0,2,17.3,4.5,Yellow,Hazy,1.016,7,0,0,0,0,0,Pos,0,2
9597BY,0,2,9.3,5.1,Straw,SLHazy,1.007,5,0,0,0,0,250,Pos,2,18
9601BY,0,2,15.1,4.7,Yellow,SLHazy,1.016,6,25,0,0,0,25,Pos,0,12
63147EM,0,2,6,6.5,Yellow,Hazy,1.061,7,25,0,0,0,0,Floc,0,0
63150EM,1,4,14.2,4.3,Yellow,SLHazy,1.019,8,0,100,0,0,25,Pos,2,2
9709BY,0,4,9,5.3,Yellow,SLHazy,1.05,7,25,0,0,0,150,Pos,0,18
9709BY,0,4,9,5.3,Red,Opaque,1.04,6,150,0,0,1,250,Pos,5,100
9777BY,0,2,19.1,3.8,Yellow,SLHazy,1.011,6,25,0,0,0,150,Negative,0,100
9842BY,0,2,15.3,7.4,Amber,Cloudy,1.028,8,75,0,0,0,250,Negative,5,100
9851BY,0,2,17.3,4.6,Yellow,Hazy,1.033,6,25,0,0,0,0,Pos,0,0
9860BY,0,2,11,5.3,Straw,SLHazy,1.009,6,25,0,0,0,150,Negative,2,50
9953BY,1,4,9.4,4.1,Yellow,Cloudy,1.052,7,0,0,0,0,25,Negative,5,8
233BZ,0,4,10.3,2.8,Yellow,SLHazy,1.04,9,75,0,0,0,0,Pos,0,5
242BZ,0,2,14.3,4.6,Yellow,SLHazy,1.039,7,25,0,0,0,0,Pos,0,0
394BZ,0,2,9.3,7.6,Yellow,Clear,1.055,7,25,0,0,0,10,Negative,0,2
9682BY,0,2,7.3,4.6,Colorless,Clear,1.007,7,0,50,0,0,250,Negative,0,8
520BZ,0,2,0,,Straw,SLHazy,1.005,6,0,0,0,0,150,Pos,0,2
525BZ,0,2,18.7,4.1,Straw,Hazy,1.011,7,25,0,0,0,250,Pos,2,100
863BZ,1,2,7.7,5.1,Yellow,SLHazy,1.037,7,150,0,0,0,50,Pos,0,50
993BZ,1,4,15.3,4.5,Yellow,SLHazy,1.021,6,25,0,0,0,0,Pos,18,1
1042BZ,0,2,7,4.9,Red,Hazy,1.007,7,25,0,0,0,250,Negative,2,100
63284EM,0,4,16.4,3.2,Straw,SLHazy,1.007,7,0,0,0,0,25,Negative,5,5
1559BZ,1,2,0,5.6,Amber,Cloudy,1.056,6,150,0,0,0,250,Negative,2,100
1564BZ,0,2,9.4,14,Yellow,Hazy,1.047,6,25,0,0,0,0,Floc,0,0
1694BZ,0,2,6.1,4.4,Yellow,Hazy,1.033,5,0,0,0,0,150,Negative,0,5
1925BZ,1,4,15.4,4.5,Straw,SLHazy,1.01,7,75,0,0,0,50,Negative,18,2
63364EM,0,4,11.4,5.5,Yellow,SLHazy,1.048,7,75,0,0,0,25,Pos,5,5
63381EM,0,2,11.4,3.1,Straw,Clear,1.011,6,25,300,0,0,150,Negative,2,1
63387EM,0,4,8.4,2.8,Yellow,Cloudy,1.046,7,75,50,0,0,25,Pos,0,5
2000BZ,0,2,13.4,3.9,Yellow,SLHazy,1.017,7,0,0,0,0,0,Pos,2,2
2269BZ,0,4,12.9,3.1,Yellow,Cloudy,1.033,6,25,0,0,0,250,Floc,0,50
2623BZ,1,4,14.4,2.4,Yellow,Clear,1.019,6,25,0,0,0,150,Negative,5,12
2839BZ,0,2,14.4,6.8,Yellow,Clear,1.018,7,25,0,0,0,10,Negative,1,12
63487EM,0,2,6,5.5,Red,Opaque,1.037,8,150,0,0,0,250,Pos,2,100
3017BZ,0,2,14.2,,Yellow,Hazy,1.023,6,25,0,0,0,10,Pos,0,5
3330BZ,0,4,18.4,3.1,Yellow,Cloudy,1.024,6,25,0,0,0,250,Pos,0,100
63525EM,0,2,3.4,3.2,Straw,SLHazy,1.019,6,500,0,0,0,10,Negative,2,1
3656BZ,0,2,0,4.1,Straw,Clear,1.013,5,0,0,0,0,0,Negative,0,0
3745BZ,1,4,2.8,4.6,Yellow,Cloudy,1.042,7,0,0,0,0,0,Negative,8,0
3837BZ,0,2,12.2,4.5,Straw,Clear,1.015,6,0,0,0,0,10,Negative,0,2
63608EM,0,4,13.4,4.4,Yellow,Clear,1.011,6,75,0,0,0,250,Negative,2,100
4136BZ,0,4,12.4,4.1,Amber,Hazy,1.041,7,25,0,0,3,0,Pos,0,0
63639EM,0,1,1,5.3,Yellow,Cloudy,1.056,8,25,100,0,0,250,Pos,5,100
4385BZ,0,2,7.8,5.3,Yellow,Clear,1.031,7,75,0,0,0,10,Negative,0,2
4404BZ,1,4,13.7,5,Straw,Hazy,1.014,7,0,0,0,0,25,Negative,24,5
4461BZ,0,4,13.4,2.6,Yellow,Hazy,1.044,6,25,0,0,0,250,Negative,18,100
4467BZ,0,2,12.3,5.1,Yellow,SLHazy,1.011,6,0,0,0,0,250,Pos,5,12
4474BZ,0,4,10.4,6.9,Yellow,Cloudy,1.044,8,25,0,0,0,250,Negative,2,100
397900M,0,4,17.1,,Straw,SLHazy,1.013,6,75,0,0,0,50,Negative,2,1
4519BZ,0,2,10.3,9.4,Yellow,SLHazy,1.054,6,0,0,0,0,0,Pos,0,0
63683EM,0,2,11.4,4.5,Yellow,Cloudy,1.015,8,25,0,0,3,250,Floc,1,50
63688EM,0,2,9.9,4.8,Yellow,Cloudy,1.027,6,25,0,0,0,0,Pos,0,0
4897BZ,1,2,14.2,4.8,Straw,Hazy,1.012,7,0,0,0,0,50,Pos,1,24
63706EM,0,4,6.4,5.4,Red,Cloudy,1.021,6,150,0,0,0,250,Negative,5,100
5020BZ,0,4,13.3,4.4,Yellow,Cloudy,1.034,7,25,0,0,0,250,Floc,5,100
5177BZ,0,4,12.5,3.6,Yellow,Hazy,1.029,7,25,0,0,0,10,Negative,2,2
5191BZ,0,4,17,3.3,Straw,Clear,1.013,5,25,0,5,0,10,Pos,5,0
5241BZ,0,4,19.5,4,Straw,Hazy,1.013,5,25,0,0,0,250,Negative,5,8
5310BZ,0,4,0.4,1.8,Straw,SLHazy,1.011,5,0,0,0,0,250,Negative,2,12
5339BZ,0,4,13.5,4.6,Straw,SLHazy,1.009,6,25,0,0,0,250,Negative,0,50
398245M,0,2,10.5,,Straw,Hazy,1.02,6,150,0,0,0,150,Pos,5,24
5489BZ,0,2,10.5,5.2,DrkYel,SLHazy,1.026,6,0,0,0,3,150,Pos,1,50
5628BZ,0,2,14.5,7.4,Yellow,Hazy,1.02,6,0,0,0,0,25,Pos,1,8
63758EM,0,2,18.5,2.7,Yellow,Hazy,1.013,6,25,0,0,0,250,Negative,5,5
5812BZ,0,4,16.5,2.2,Yellow,Clear,1.015,6,25,0,0,0,50,Negative,2,12
5870BZ,0,2,14.9,4.8,Straw,SLHazy,1.026,6,0,0,0,0,0,Negative,0,0
5875BZ,0,2,5.5,,Yellow,Clear,1.036,8,0,0,0,0,0,Negative,0,0
5880BZ,0,4,8.2,7.4,Yellow,Cloudy,1.06,7,25,0,0,0,250,Negative,0,100
5964BZ,0,2,14.5,5.8,Yellow,Hazy,1.015,5,25,0,0,0,50,Pos,1,5
6032BZ,0,2,14.5,4.3,Yellow,SLHazy,1.014,5,0,0,0,0,0,Pos,1,1
6310BZ,0,2,0,,Other;PINK,Hazy,1.013,6,75,0,0,0,250,Pos,2,100
6349BZ,0,4,18,2.8,Straw,SLHazy,1.013,5,0,0,0,0,250,Pos,0,18
6432BZ,1,2,12.5,5.9,Yellow,Hazy,1.038,6,75,1000,0,0,250,Pos,100,2
6559BZ,0,2,2.5,4.4,Yellow,Hazy,1.068,6,25,0,0,0,0,Negative,0,0
6852BZ,0,4,11,4.3,Yellow,SLHazy,1.019,7,25,0,0,0,50,Pos,5,50
63966EM,0,2,5.5,6.9,Other;PEACH,Cloudy,1.041,8,75,0,0,0,250,Pos,2,100
7933BZ,0,4,15.5,4.3,Yellow,SLHazy,1.012,6,0,0,0,0,250,Negative,0,0
8004BZ,0,2,11.9,6.5,Other,Clear,1.006,5,0,0,0,0,25,Negative,1,0
8012BZ,0,2,14.5,,Straw,SLHazy,1.011,5,75,0,0,0,50,Negative,5,1
8063BZ,0,2,10.8,3.8,Yellow,Hazy,1.058,7,25,0,0,0,0,Pos,0,0
8175BZ,0,4,16.1,3.7,Yellow,Hazy,1.022,6,75,0,0,0,250,Negative,2,50
8261BZ,0,4,15.5,5.5,Red,Cloudy,1.013,6,0,100,0,0,250,Negative,0,100
8500BZ,0,4,11.6,5,DrkYel,SLHazy,1.02,6,75,1000,15,3,50,Pos,2,5
8506BZ,0,2,7.5,5.5,Amber,Hazy,1.019,7,25,0,0,6,0,Pos,0,0
8528BZ,0,2,7.4,7.2,Yellow,Hazy,1.053,8,25,0,0,0,0,Pos,0,0
8530BZ,0,2,6.3,4.2,Yellow,Hazy,1.055,5,25,0,0,0,250,Pos,5,24
8581BZ,0,2,19.3,3.8,Yellow,Hazy,1.011,5,0,0,0,0,250,Negative,2,5
8681BZ,0,4,15.1,4.5,Yellow,Hazy,1.011,5,150,0,0,0,250,Pos,2,50
8688BZ,0,2,3.8,6,Yellow,Hazy,1.056,7,25,0,0,1,50,Pos,0,18
8703BZ,0,2,11.5,2.7,Straw,Clear,1.009,6,25,300,0,0,0,Negative,1,0
9180BZ,0,4,14.6,3.2,Yellow,Hazy,1.032,6,0,0,0,0,150,Negative,5,50
9362BZ,0,4,5.2,5.6,Yellow,Hazy,1.052,6,75,0,0,0,250,Pos,2,12
9657BZ,0,4,13.6,,Colorless,Clear,1.01,7,25,0,0,0,250,Negative,1,50
9756BZ,0,2,11.6,3.3,Straw,Clear,1.007,7,25,300,0,0,0,Negative,0,0
64193EM,0,4,0,3.7,Yellow,SLHazy,1.007,6,0,300,15,0,0,Pos,0,0
64225EM,0,2,19.6,4.3,Straw,Clear,1.01,6,0,100,0,0,50,Negative,0,2
566CA,0,4,16.6,4,Red,Cloudy,1.014,6,150,0,0,0,250,Negative,2,100
1010CA,0,2,12.6,6.6,Straw,Clear,1.008,6,0,0,0,0,50,Negative,0,1
1080CA,0,4,16.2,5.9,Yellow,Clear,1.016,7,0,0,0,0,0,Pos,0,0
1117CA,0,4,13.6,4.5,Colorless,Clear,1.01,7,25,0,0,0,250,Negative,0,12
1169CA,0,4,14.6,,Red,Cloudy,1.04,6,150,1000,0,0,250,Negative,8,100
1600CA,0,4,15.6,2.1,Straw,SLHazy,1.013,6,25,0,0,0,250,Pos,0,50
64336EM,1,1,4.6,6,Straw,Clear,1.012,7,0,0,0,0,25,Negative,1,8
64337EM,0,4,3,6.5,Yellow,Clear,1.007,8,0,0,0,0,0,Negative,0,0
1867CA,0,2,7.6,8.2,Straw,Cloudy,1.062,7,0,1000,0,0,0,Negative,0,0
1927CA,0,2,14.6,5.7,Straw,SLHazy,1.012,5,0,0,0,0,50,Negative,2,5
2049CA,0,2,9.6,4.4,Yellow,Hazy,1.039,6,25,0,0,0,0,Negative,1,0
401885M,0,4,14.4,,Straw,Clear,1.023,7,0,1000,0,0,0,Negative,0,0
2365CA,0,4,14.9,2.3,Straw,Hazy,1.018,6,0,0,0,0,10,Negative,0,2
2403CA,1,4,10.6,3.2,Red,Cloudy,1.009,5,75,50,0,0,250,Negative,50,1
64393EM,1,2,1.8,4.6,Red,Opaque,1.025,7,150,0,0,0,250,Negative,50,100
64393EM,1,2,1.8,4.6,Yellow,Hazy,1.023,6,25,0,0,0,250,Negative,1,100
64393EM,0,2,1.8,4.6,Red,Opaque,1.025,7,150,0,0,0,250,Negative,50,100
64393EM,0,2,1.8,4.6,Yellow,Hazy,1.023,6,25,0,0,0,250,Negative,1,100
2491CA,0,4,0,3.4,Yellow,Clear,1.015,6,0,1000,5,0,250,Negative,1,2
2618CA,0,2,17.1,2.8,Straw,Clear,1.015,6,25,0,0,0,150,Negative,2,5
64414EM,0,1,4.6,5.9,Yellow,Hazy,1.029,6,0,0,0,0,10,Negative,0,5
2694CA,0,4,19.6,3,Straw,Hazy,1.01,6,25,100,0,0,250,Negative,2,100
2726CA,1,4,15.6,4.1,Yellow,Cloudy,1.037,7,75,0,0,0,250,Floc,1,100
3245CA,0,4,21.4,2.8,Red,Opaque,1.017,6,150,0,0,1,250,Negative,2,100
3390CA,0,4,13.7,,Yellow,Clear,1.051,7,25,100,0,0,50,Pos,0,5
3561CA,1,4,16.3,4.6,Straw,Cloudy,1.013,6,25,0,0,0,50,Negative,100,2
64496EM,1,4,16.7,1.7,Colorless,Clear,1.008,6,25,0,0,0,150,Negative,8,0
3646CA,1,2,1.8,4.8,Straw,Cloudy,1.026,6,25,0,0,0,150,Negative,5,100
3731CA,0,2,13.8,4.4,Straw,Clear,1.025,6,25,0,0,0,0,Negative,0,0
3845CA,0,2,11.7,4.7,Straw,SLHazy,1.019,6,25,0,0,0,25,Pos,0,5
3890CA,0,4,0,1.8,Yellow,Clear,1.018,6,75,0,0,0,250,Negative,2,24
3953CA,0,4,13.7,4.7,Straw,SLHazy,1.011,6,75,50,0,0,250,Negative,2,100
3995CA,0,4,18.7,3.7,Yellow,Clear,1.027,6,25,0,0,0,0,Negative,2,2
3996CA,0,4,18.7,,Straw,SLHazy,1.011,6,0,0,0,0,150,Negative,2,100
4111CA,0,2,18,3.2,Straw,Hazy,1.016,6,25,0,0,0,0,Pos,2,0
4390CA,0,4,16.7,3.8,Yellow,SLHazy,1.017,5,25,0,0,0,250,Negative,2,100
4430CA,0,2,20.5,2,Amber,Clear,1.013,7,150,0,0,1,250,Negative,2,0
64618EM,1,2,3.7,4.2,Yellow,Cloudy,1.041,6,150,0,0,0,250,Pos,5,50
64656EM,1,4,14,4.2,Straw,Cloudy,1.014,7,75,0,0,0,250,Negative,50,5
5291CA,1,4,3.7,5.6,Straw,Cloudy,1.015,5,0,0,0,0,250,Negative,1,100
5302CA,0,4,13.7,4.8,Colorless,Hazy,1.011,7,75,1000,0,0,250,Negative,0,100
5385CA,0,2,0.4,1.9,Straw,Clear,1.027,6,0,0,0,0,0,Negative,0,0
5578CA,0,2,9.7,6.2,Yellow,Hazy,1.046,7,25,0,0,0,10,Pos,12,8
5585CA,0,2,0,6.7,Other;LIGHT PINK,Cloudy,1.027,7,150,0,0,0,250,Pos,5,100
5776CA,0,2,11.7,2.7,Colorless,Clear,1.006,7,25,300,0,0,25,Negative,0,0
5905CA,0,2,5.7,4.6,Yellow,Clear,1.032,8,25,0,0,0,0,Negative,0,0
5966CA,0,2,4.7,5.2,Yellow,Hazy,1.044,7,25,0,0,0,25,Pos,0,8
6014CA,0,2,17.7,4.3,Yellow,Cloudy,1.021,6,25,0,0,0,10,Floc,2,8
6021CA,0,4,8,4.2,Yellow,Hazy,1.041,8,25,0,0,0,250,Pos,0,100
64754EM,1,4,17.7,3,Straw,SLHazy,1.009,6,25,0,0,0,25,Negative,24,5
64754EM,1,4,17.7,3,Straw,Hazy,1.01,6,75,0,0,0,50,Negative,100,12
64771EM,1,1,5.7,7.3,Straw,Hazy,1.011,7,150,100,0,0,250,Negative,1,100
6258CA,0,2,10.7,5.3,Yellow,Clear,1.023,6,25,1000,0,0,25,Negative,2,5
6332CA,0,4,13,,Straw,Clear,1.014,6,0,0,0,0,0,Negative,0,2
6633CA,0,2,10.7,5.2,DrkYel,SLHazy,1.04,7,75,0,0,3,150,Pos,0,50
64807EM,0,2,5,5.9,Red,Opaque,1.012,7,500,50,0,0,250,Negative,8,100
64825EM,0,2,9.4,6.8,Yellow,Cloudy,1.064,7,75,1000,0,3,250,Floc,1,100
64834EM,1,2,14.8,3.6,Yellow,Hazy,1.021,5,25,0,0,3,150,Pos,0,12
7322CA,0,4,17.4,3.7,Straw,Cloudy,1.013,6,25,0,0,0,25,Negative,0,2
7581CA,1,2,5.5,4.3,Other;PINK,Cloudy,1.018,8,25,0,0,0,250,Pos,5,100
7796CA,0,4,7.8,3.4,Straw,Clear,1.013,6,25,100,0,0,0,Pos,2,2
8015CA,0,2,15.6,3.8,Colorless,Clear,1.019,5,0,1000,0,0,0,Negative,0,0
404601M,0,1,2.1,,Yellow,Cloudy,1.059,6,75,0,0,0,250,Pos,5,100
404680M,0,4,17.5,,Yellow,SLHazy,1.006,8,0,0,0,1,25,Pos,0,5
8387CA,0,2,5.8,4.9,Red,Opaque,1.035,6,150,0,0,0,250,Negative,5,100
8400CA,0,2,12.8,3,Straw,Clear,1.013,5,150,300,0,0,0,Negative,0,0
8762CA,0,2,15.8,4.1,Yellow,SLHazy,1.033,7,25,0,0,0,250,Pos,1,100
8880CA,0,2,19.1,3.9,Red,Cloudy,1.01,5,75,0,0,0,250,Negative,12,100
9174CA,0,2,7.6,,Yellow,Hazy,1.051,7,75,0,0,0,250,Pos,2,100
9259CA,0,2,9.8,5.7,Yellow,SLHazy,1.05,6,25,0,0,0,0,Pos,0,0
9268CA,1,4,18.8,2,Yellow,Clear,1.013,5,25,0,0,0,0,Negative,5,0
64952EM,0,2,11.8,3.7,Colorless,Hazy,1.011,6,0,0,0,0,25,Negative,0,8
9310CA,1,4,17,2.4,Yellow,Hazy,1.016,6,75,0,0,0,250,Negative,100,100
9634CA,0,2,15.8,3.3,Yellow,Clear,1.012,5,0,0,0,0,250,Negative,1,2
9766CA,1,4,17.5,3.8,Yellow,Hazy,1.011,6,75,0,0,3,50,Negative,100,2
9973CA,1,4,14.2,4.6,Straw,Hazy,1.014,6,0,0,0,0,10,Negative,18,2
64983EM,0,2,2.8,6,Red,Opaque,1.032,7,500,0,0,0,250,Negative,1,100
